"ObservationDate","Site","County","UtilityImpact","ServicesImpact","ConsumablesImpact","2MCheckins","Comments",
2020-04-04,"Perry","Ingham","A","M","M",0,"",
2020-04-04,"Perry","Clinton","A","M","M",0,"",
