"IntelDate","Site","County","UtilityImpact","ServicesImpact","ConsumablesImpact","2M Checkins","2M Participate","HF Checkins","HF Participate",
2020.04.19,"Adam","Cheboygan","A","A","A",0,0,0,0,
2020.04.19,"Dan","Kent","A","A","A",0,0,0,0,
2020.04.19,"Joe","Wayne","A","A","M",0,0,0,0,
2020.04.19,"Ian","Macomb","U","U","S",7,0,0,0,
2020.04.19,"Dennis","Monroe","A","A","M",0,0,0,0,
2020.04.19,"Jeff","Montcalm","A","A","M",0,0,0,0,
2020.04.19,"James","Allegan","U","U","U",0,0,0,0,
2020.04.19,"Dustin","Berrien","A","S","M",0,0,0,0,
2020.04.19,"Kurt","Kent","A","M","M",0,0,0,0,
2020.04.19,"Kurt","Wayne","A","A","M",0,0,0,0,
2020.04.19,"Mike","Macomb","A","U","M",0,0,0,0,
2020.04.19,"Dan","Saginaw","A","M","M",0,0,0,0,
2020.04.19,"Will","Ogemaw","A","A","A",0,0,0,0,
2020.04.19,"Jordan","Newaygo","A","A","A",0,0,0,0,
